species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,sex,year,Identifier
Gentoo,Biscoe,46.1,13.2,211,female,2007,153
Gentoo,Biscoe,50,16.3,230,male,2007,154
Gentoo,Biscoe,48.7,14.1,210,female,2007,155
Gentoo,Biscoe,50,15.2,218,male,2007,156
Gentoo,Biscoe,47.6,14.5,215,male,2007,157
Gentoo,Biscoe,46.5,13.5,210,female,2007,158
Gentoo,Biscoe,45.4,14.6,211,female,2007,159
Gentoo,Biscoe,46.7,15.3,219,male,2007,160
Gentoo,Biscoe,43.3,13.4,209,female,2007,161
Gentoo,Biscoe,46.8,15.4,215,male,2007,162
Gentoo,Biscoe,40.9,13.7,214,female,2007,163
Gentoo,Biscoe,49,16.1,216,male,2007,164
Gentoo,Biscoe,45.5,13.7,214,female,2007,165
Gentoo,Biscoe,48.4,14.6,213,male,2007,166
Gentoo,Biscoe,45.8,14.6,210,female,2007,167
Gentoo,Biscoe,49.3,15.7,217,male,2007,168
Gentoo,Biscoe,42,13.5,210,female,2007,169
Gentoo,Biscoe,49.2,15.2,221,male,2007,170
Gentoo,Biscoe,46.2,14.5,209,female,2007,171
Gentoo,Biscoe,48.7,15.1,222,male,2007,172
Gentoo,Biscoe,50.2,14.3,218,male,2007,173
Gentoo,Biscoe,45.1,14.5,215,female,2007,174
Gentoo,Biscoe,46.5,14.5,213,female,2007,175
Gentoo,Biscoe,46.3,15.8,215,male,2007,176
Gentoo,Biscoe,42.9,13.1,215,female,2007,177
Gentoo,Biscoe,46.1,15.1,215,male,2007,178
Gentoo,Biscoe,44.5,14.3,216,NA,2007,179
Gentoo,Biscoe,47.8,15,215,male,2007,180
Gentoo,Biscoe,48.2,14.3,210,female,2007,181
Gentoo,Biscoe,50,15.3,220,male,2007,182
Gentoo,Biscoe,47.3,15.3,222,male,2007,183
Gentoo,Biscoe,42.8,14.2,209,female,2007,184
Gentoo,Biscoe,45.1,14.5,207,female,2007,185
Gentoo,Biscoe,59.6,17,230,male,2007,186
Gentoo,Biscoe,49.1,14.8,220,female,2008,187
Gentoo,Biscoe,48.4,16.3,220,male,2008,188
Gentoo,Biscoe,42.6,13.7,213,female,2008,189
Gentoo,Biscoe,44.4,17.3,219,male,2008,190
Gentoo,Biscoe,44,13.6,208,female,2008,191
Gentoo,Biscoe,48.7,15.7,208,male,2008,192
Gentoo,Biscoe,42.7,13.7,208,female,2008,193
Gentoo,Biscoe,49.6,16,225,male,2008,194
Gentoo,Biscoe,45.3,13.7,210,female,2008,195
Gentoo,Biscoe,49.6,15,216,male,2008,196
Gentoo,Biscoe,50.5,15.9,222,male,2008,197
Gentoo,Biscoe,43.6,13.9,217,female,2008,198
Gentoo,Biscoe,45.5,13.9,210,female,2008,199
Gentoo,Biscoe,50.5,15.9,225,male,2008,200
Gentoo,Biscoe,44.9,13.3,213,female,2008,201
Gentoo,Biscoe,45.2,15.8,215,male,2008,202
Gentoo,Biscoe,46.6,14.2,210,female,2008,203
Gentoo,Biscoe,48.5,14.1,220,male,2008,204
Gentoo,Biscoe,45.1,14.4,210,female,2008,205
Gentoo,Biscoe,50.1,15,225,male,2008,206
Gentoo,Biscoe,46.5,14.4,217,female,2008,207
Gentoo,Biscoe,45,15.4,220,male,2008,208
Gentoo,Biscoe,43.8,13.9,208,female,2008,209
Gentoo,Biscoe,45.5,15,220,male,2008,210
Gentoo,Biscoe,43.2,14.5,208,female,2008,211
Gentoo,Biscoe,50.4,15.3,224,male,2008,212
Gentoo,Biscoe,45.3,13.8,208,female,2008,213
Gentoo,Biscoe,46.2,14.9,221,male,2008,214
Gentoo,Biscoe,45.7,13.9,214,female,2008,215
Gentoo,Biscoe,54.3,15.7,231,male,2008,216
Gentoo,Biscoe,45.8,14.2,219,female,2008,217
Gentoo,Biscoe,49.8,16.8,230,male,2008,218
Gentoo,Biscoe,46.2,14.4,214,NA,2008,219
Gentoo,Biscoe,49.5,16.2,229,male,2008,220
Gentoo,Biscoe,43.5,14.2,220,female,2008,221
Gentoo,Biscoe,50.7,15,223,male,2008,222
Gentoo,Biscoe,47.7,15,216,female,2008,223
Gentoo,Biscoe,46.4,15.6,221,male,2008,224
Gentoo,Biscoe,48.2,15.6,221,male,2008,225
Gentoo,Biscoe,46.5,14.8,217,female,2008,226
Gentoo,Biscoe,46.4,15,216,female,2008,227
Gentoo,Biscoe,48.6,16,230,male,2008,228
Gentoo,Biscoe,47.5,14.2,209,female,2008,229
Gentoo,Biscoe,51.1,16.3,220,male,2008,230
Gentoo,Biscoe,45.2,13.8,215,female,2008,231
Gentoo,Biscoe,45.2,16.4,223,male,2008,232
Gentoo,Biscoe,49.1,14.5,212,female,2009,233
Gentoo,Biscoe,52.5,15.6,221,male,2009,234
Gentoo,Biscoe,47.4,14.6,212,female,2009,235
Gentoo,Biscoe,50,15.9,224,male,2009,236
Gentoo,Biscoe,44.9,13.8,212,female,2009,237
Gentoo,Biscoe,50.8,17.3,228,male,2009,238
Gentoo,Biscoe,43.4,14.4,218,female,2009,239
Gentoo,Biscoe,51.3,14.2,218,male,2009,240
Gentoo,Biscoe,47.5,14,212,female,2009,241
Gentoo,Biscoe,52.1,17,230,male,2009,242
Gentoo,Biscoe,47.5,15,218,female,2009,243
Gentoo,Biscoe,52.2,17.1,228,male,2009,244
Gentoo,Biscoe,45.5,14.5,212,female,2009,245
Gentoo,Biscoe,49.5,16.1,224,male,2009,246
Gentoo,Biscoe,44.5,14.7,214,female,2009,247
Gentoo,Biscoe,50.8,15.7,226,male,2009,248
Gentoo,Biscoe,49.4,15.8,216,male,2009,249
Gentoo,Biscoe,46.9,14.6,222,female,2009,250
Gentoo,Biscoe,48.4,14.4,203,female,2009,251
Gentoo,Biscoe,51.1,16.5,225,male,2009,252
Gentoo,Biscoe,48.5,15,219,female,2009,253
Gentoo,Biscoe,55.9,17,228,male,2009,254
Gentoo,Biscoe,47.2,15.5,215,female,2009,255
Gentoo,Biscoe,49.1,15,228,male,2009,256
Gentoo,Biscoe,47.3,13.8,216,NA,2009,257
