Identifier	body_mass_g
1	3750
2	3800
3	3250
4	NA
5	3450
6	3650
7	3625
8	4675
9	3475
10	4250
11	3300
12	3700
13	3200
14	3800
15	4400
16	3700
17	3450
18	4500
19	3325
20	4200
21	3400
22	3600
23	3800
24	3950
25	3800
26	3800
27	3550
28	3200
29	3150
30	3950
31	3250
32	3900
33	3300
34	3900
35	3325
36	4150
37	3950
38	3550
39	3300
40	4650
41	3150
42	3900
43	3100
44	4400
45	3000
46	4600
47	3425
48	2975
49	3450
50	4150
51	3500
52	4300
53	3450
54	4050
55	2900
56	3700
57	3550
58	3800
59	2850
60	3750
61	3150
62	4400
63	3600
64	4050
65	2850
66	3950
67	3350
68	4100
69	3050
70	4450
71	3600
72	3900
73	3550
74	4150
75	3700
76	4250
77	3700
78	3900
79	3550
80	4000
81	3200
82	4700
83	3800
84	4200
85	3350
86	3550
87	3800
88	3500
89	3950
90	3600
91	3550
92	4300
93	3400
94	4450
95	3300
96	4300
97	3700
98	4350
99	2900
100	4100
101	3725
102	4725
103	3075
104	4250
105	2925
106	3550
107	3750
108	3900
109	3175
110	4775
111	3825
112	4600
113	3200
114	4275
115	3900
116	4075
117	2900
118	3775
119	3350
120	3325
121	3150
122	3500
123	3450
124	3875
125	3050
126	4000
127	3275
128	4300
129	3050
130	4000
131	3325
132	3500
133	3500
134	4475
135	3425
136	3900
137	3175
138	3975
139	3400
140	4250
141	3400
142	3475
143	3050
144	3725
145	3000
146	3650
147	4250
148	3475
149	3450
150	3750
151	3700
152	4000
153	4500
154	5700
155	4450
156	5700
157	5400
158	4550
159	4800
160	5200
161	4400
162	5150
163	4650
164	5550
165	4650
166	5850
167	4200
168	5850
169	4150
170	6300
171	4800
172	5350
173	5700
174	5000
175	4400
176	5050
177	5000
178	5100
179	4100
180	5650
181	4600
182	5550
183	5250
184	4700
185	5050
186	6050
187	5150
188	5400
189	4950
190	5250
191	4350
192	5350
193	3950
194	5700
195	4300
196	4750
197	5550
198	4900
199	4200
200	5400
201	5100
202	5300
203	4850
204	5300
205	4400
206	5000
207	4900
208	5050
209	4300
210	5000
211	4450
212	5550
213	4200
214	5300
215	4400
216	5650
217	4700
218	5700
219	4650
220	5800
221	4700
222	5550
223	4750
224	5000
225	5100
226	5200
227	4700
228	5800
229	4600
230	6000
231	4750
232	5950
233	4625
234	5450
235	4725
236	5350
237	4750
238	5600
239	4600
240	5300
241	4875
242	5550
243	4950
244	5400
245	4750
246	5650
247	4850
248	5200
249	4925
250	4875
251	4625
252	5250
253	4850
254	5600
255	4975
256	5500
257	4725
258	5500
259	4700
260	5500
261	4575
262	5500
263	5000
264	5950
265	4650
266	5500
267	4375
268	5850
269	4875
270	6000
271	4925
272	NA
273	4850
274	5750
275	5200
276	5400
277	3500
278	3900
279	3650
280	3525
281	3725
282	3950
283	3250
284	3750
285	4150
286	3700
287	3800
288	3775
289	3700
290	4050
291	3575
292	4050
293	3300
294	3700
295	3450
296	4400
297	3600
298	3400
299	2900
300	3800
301	3300
302	4150
303	3400
304	3800
305	3700
306	4550
307	3200
308	4300
309	3350
310	4100
311	3600
312	3900
313	3850
314	4800
315	2700
316	4500
317	3950
318	3650
319	3550
320	3500
321	3675
322	4450
323	3400
324	4300
325	3250
326	3675
327	3325
328	3950
329	3600
330	4050
331	3350
332	3450
333	3250
334	4050
335	3800
336	3525
337	3950
338	3650
339	3650
340	4000
341	3400
342	3775
343	4100
344	3775
