country,continent,year,pop,gdpPercap
Afghanistan,Asia,1962,10267083,853.10071
Afghanistan,Asia,1967,11537966,836.1971382
Afghanistan,Asia,1972,13079460,739.9811058
Afghanistan,Asia,1977,14880372,786.11336
Afghanistan,Asia,1982,12881816,978.0114388
Afghanistan,Asia,1987,13867957,852.3959448
Afghanistan,Asia,1992,16317921,649.3413952
Afghanistan,Asia,1997,22227415,635.341351
Afghanistan,Asia,2002,25268405,726.7340548
Afghanistan,Asia,2007,31889923,974.5803384
Albania,Europe,1962,1728137,2312.888958
Albania,Europe,1967,1984060,2760.196931
Albania,Europe,1972,2263554,3313.422188
Albania,Europe,1977,2509048,3533.00391
Albania,Europe,1982,2780097,3630.880722
Albania,Europe,1987,3075321,3738.932735
Albania,Europe,1992,3326498,2497.437901
Albania,Europe,1997,3428038,3193.054604
Albania,Europe,2002,3508512,4604.211737
Albania,Europe,2007,3600523,5937.029526
Algeria,Africa,1962,11000948,2550.81688
Algeria,Africa,1967,12760499,3246.991771
Algeria,Africa,1972,14760787,4182.663766
Algeria,Africa,1977,17152804,4910.416756
Algeria,Africa,1982,20033753,5745.160213
Algeria,Africa,1987,23254956,5681.358539
Algeria,Africa,1992,26298373,5023.216647
Algeria,Africa,1997,29072015,4797.295051
Algeria,Africa,2002,31287142,5288.040382
Algeria,Africa,2007,33333216,6223.367465
Angola,Africa,1962,4826015,4269.276742
Angola,Africa,1967,5247469,5522.776375
Angola,Africa,1972,5894858,5473.288005
Angola,Africa,1977,6162675,3008.647355
Angola,Africa,1982,7016384,2756.953672
Angola,Africa,1987,7874230,2430.208311
Angola,Africa,1992,8735988,2627.845685
Angola,Africa,1997,9875024,2277.140884
Angola,Africa,2002,10866106,2773.287312
Angola,Africa,2007,12420476,4797.231267
Argentina,Americas,1962,21283783,7133.166023
Argentina,Americas,1967,22934225,8052.953021
Argentina,Americas,1972,24779799,9443.038526
Argentina,Americas,1977,26983828,10079.02674
Argentina,Americas,1982,29341374,8997.897412
Argentina,Americas,1987,31620918,9139.671389
Argentina,Americas,1992,33958947,9308.41871
Argentina,Americas,1997,36203463,10967.28195
Argentina,Americas,2002,38331121,8797.640716
Argentina,Americas,2007,40301927,12779.37964
Australia,Oceania,1962,10794968,12217.22686
Australia,Oceania,1967,11872264,14526.12465
Australia,Oceania,1972,13177000,16788.62948
Australia,Oceania,1977,14074100,18334.19751
Australia,Oceania,1982,15184200,19477.00928
Australia,Oceania,1987,16257249,21888.88903
Australia,Oceania,1992,17481977,23424.76683
Australia,Oceania,1997,18565243,26997.93657
Australia,Oceania,2002,19546792,30687.75473
Australia,Oceania,2007,20434176,34435.36744
Austria,Europe,1962,7129864,10750.72111
Austria,Europe,1967,7376998,12834.6024
Austria,Europe,1972,7544201,16661.6256
Austria,Europe,1977,7568430,19749.4223
Austria,Europe,1982,7574613,21597.08362
Austria,Europe,1987,7578903,23687.82607
Austria,Europe,1992,7914969,27042.01868
Austria,Europe,1997,8069876,29095.92066
Austria,Europe,2002,8148312,32417.60769
Austria,Europe,2007,8199783,36126.4927
Bahrain,Asia,1962,171863,12753.27514
Bahrain,Asia,1967,202182,14804.6727
Bahrain,Asia,1972,230800,18268.65839
Bahrain,Asia,1977,297410,19340.10196
Bahrain,Asia,1982,377967,19211.14731
Bahrain,Asia,1987,454612,18524.02406
Bahrain,Asia,1992,529491,19035.57917
Bahrain,Asia,1997,598561,20292.01679
Bahrain,Asia,2002,656397,23403.55927
Bahrain,Asia,2007,708573,29796.04834
Bangladesh,Asia,1962,56839289,686.3415538
Bangladesh,Asia,1967,62821884,721.1860862
Bangladesh,Asia,1972,70759295,630.2336265
Bangladesh,Asia,1977,80428306,659.8772322
Bangladesh,Asia,1982,93074406,676.9818656
Bangladesh,Asia,1987,103764241,751.9794035
Bangladesh,Asia,1992,113704579,837.8101643
Bangladesh,Asia,1997,123315288,972.7700352
Bangladesh,Asia,2002,135656790,1136.39043
Bangladesh,Asia,2007,150448339,1391.253792
Belgium,Europe,1962,9218400,10991.20676
Belgium,Europe,1967,9556500,13149.04119
Belgium,Europe,1972,9709100,16672.14356
Belgium,Europe,1977,9821800,19117.97448
Belgium,Europe,1982,9856303,20979.84589
Belgium,Europe,1987,9870200,22525.56308
Belgium,Europe,1992,10045622,25575.57069
Belgium,Europe,1997,10199787,27561.19663
Belgium,Europe,2002,10311970,30485.88375
Belgium,Europe,2007,10392226,33692.60508
Benin,Africa,1962,2151895,949.4990641
Benin,Africa,1967,2427334,1035.831411
Benin,Africa,1972,2761407,1085.796879
Benin,Africa,1977,3168267,1029.161251
Benin,Africa,1982,3641603,1277.897616
Benin,Africa,1987,4243788,1225.85601
Benin,Africa,1992,4981671,1191.207681
Benin,Africa,1997,6066080,1232.975292
Benin,Africa,2002,7026113,1372.877931
Benin,Africa,2007,8078314,1441.284873
Bolivia,Americas,1962,3593918,2180.972546
Bolivia,Americas,1967,4040665,2586.886053
Bolivia,Americas,1972,4565872,2980.331339
Bolivia,Americas,1977,5079716,3548.097832
Bolivia,Americas,1982,5642224,3156.510452
Bolivia,Americas,1987,6156369,2753.69149
Bolivia,Americas,1992,6893451,2961.699694
Bolivia,Americas,1997,7693188,3326.143191
Bolivia,Americas,2002,8445134,3413.26269
Bolivia,Americas,2007,9119152,3822.137084
Bosnia and Herzegovina,Europe,1962,3349000,1709.683679
Bosnia and Herzegovina,Europe,1967,3585000,2172.352423
Bosnia and Herzegovina,Europe,1972,3819000,2860.16975
Bosnia and Herzegovina,Europe,1977,4086000,3528.481305
Bosnia and Herzegovina,Europe,1982,4172693,4126.613157
Bosnia and Herzegovina,Europe,1987,4338977,4314.114757
Bosnia and Herzegovina,Europe,1992,4256013,2546.781445
Bosnia and Herzegovina,Europe,1997,3607000,4766.355904
